ad_id,timestamp,clicks,views,cost
10000,2023-08-23T10:00:00Z,18,19,27.41
10001,2023-08-23T10:01:00Z,67,74,51.78
10002,2023-08-23T10:02:00Z,15,81,22.43
10003,2023-08-23T10:03:00Z,0,49,0.0
10004,2023-08-23T10:04:00Z,41,71,160.07
10005,2023-08-23T10:05:00Z,42,46,159.44
10006,2023-08-23T10:06:00Z,22,75,92.47
10007,2023-08-23T10:07:00Z,38,61,99.7
10008,2023-08-23T10:08:00Z,30,54,42.09
10009,2023-08-23T10:09:00Z,9,20,5.36
10010,2023-08-23T10:10:00Z,36,78,111.02
10011,2023-08-23T10:11:00Z,10,48,38.52
10012,2023-08-23T10:12:00Z,32,97,56.08
10013,2023-08-23T10:13:00Z,38,59,138.04
10014,2023-08-23T10:14:00Z,23,25,48.64
10015,2023-08-23T10:15:00Z,29,43,32.87
10016,2023-08-23T10:16:00Z,6,13,20.42
10017,2023-08-23T10:17:00Z,10,13,12.06
10018,2023-08-23T10:18:00Z,6,73,20.2
10019,2023-08-23T10:19:00Z,20,56,21.16
10020,2023-08-23T10:20:00Z,14,19,22.39
10021,2023-08-23T10:21:00Z,33,75,88.19
10022,2023-08-23T10:22:00Z,6,12,19.72
10023,2023-08-23T10:23:00Z,48,65,144.98
10024,2023-08-23T10:24:00Z,3,10,11.17
10025,2023-08-23T10:25:00Z,31,63,142.14
10026,2023-08-23T10:26:00Z,0,30,0.0
10027,2023-08-23T10:27:00Z,5,47,20.05
10028,2023-08-23T10:28:00Z,11,17,31.68
10029,2023-08-23T10:29:00Z,18,88,23.0
10030,2023-08-23T10:30:00Z,1,33,2.23
10031,2023-08-23T10:31:00Z,0,18,0.0
10032,2023-08-23T10:32:00Z,61,72,65.5
10033,2023-08-23T10:33:00Z,15,55,27.99
10034,2023-08-23T10:34:00Z,41,74,44.72
10035,2023-08-23T10:35:00Z,15,69,13.49
10036,2023-08-23T10:36:00Z,16,20,69.28
10037,2023-08-23T10:37:00Z,1,87,4.33
10038,2023-08-23T10:38:00Z,35,45,165.75
10039,2023-08-23T10:39:00Z,52,80,207.66
10040,2023-08-23T10:40:00Z,9,59,8.45
10041,2023-08-23T10:41:00Z,52,82,254.49
10042,2023-08-23T10:42:00Z,24,75,100.42
10043,2023-08-23T10:43:00Z,77,84,108.19
10044,2023-08-23T10:44:00Z,16,48,11.51
10045,2023-08-23T10:45:00Z,2,66,3.31
10046,2023-08-23T10:46:00Z,5,10,9.4
10047,2023-08-23T10:47:00Z,51,66,241.9
10048,2023-08-23T10:48:00Z,3,20,2.43
10049,2023-08-23T10:49:00Z,31,48,47.78
10050,2023-08-23T10:50:00Z,60,95,180.63
10051,2023-08-23T10:51:00Z,29,32,94.42
10052,2023-08-23T10:52:00Z,50,57,125.36
10053,2023-08-23T10:53:00Z,38,71,24.89
10054,2023-08-23T10:54:00Z,1,15,1.47
10055,2023-08-23T10:55:00Z,20,67,39.86
10056,2023-08-23T10:56:00Z,8,18,18.12
10057,2023-08-23T10:57:00Z,15,89,45.24
10058,2023-08-23T10:58:00Z,50,54,168.73
10059,2023-08-23T10:59:00Z,5,18,5.04
10060,2023-08-23T11:00:00Z,6,6,4.09
10061,2023-08-23T11:01:00Z,6,27,17.92
10062,2023-08-23T11:02:00Z,2,5,5.65
10063,2023-08-23T11:03:00Z,31,44,111.5
10064,2023-08-23T11:04:00Z,12,13,8.79
10065,2023-08-23T11:05:00Z,35,55,107.0
10066,2023-08-23T11:06:00Z,3,24,10.59
10067,2023-08-23T11:07:00Z,11,11,51.73
10068,2023-08-23T11:08:00Z,6,49,28.41
10069,2023-08-23T11:09:00Z,0,17,0.0
10070,2023-08-23T11:10:00Z,44,48,26.96
10071,2023-08-23T11:11:00Z,2,19,2.42
10072,2023-08-23T11:12:00Z,2,50,8.72
10073,2023-08-23T11:13:00Z,6,50,16.1
10074,2023-08-23T11:14:00Z,1,11,3.21
10075,2023-08-23T11:15:00Z,44,83,139.26
10076,2023-08-23T11:16:00Z,63,64,158.69
10077,2023-08-23T11:17:00Z,10,80,45.33
10078,2023-08-23T11:18:00Z,35,93,170.55
10079,2023-08-23T11:19:00Z,36,39,85.09
10080,2023-08-23T11:20:00Z,68,85,157.01
10081,2023-08-23T11:21:00Z,29,29,122.45
10082,2023-08-23T11:22:00Z,12,16,38.95
10083,2023-08-23T11:23:00Z,37,44,172.5
10084,2023-08-23T11:24:00Z,46,96,197.23
10085,2023-08-23T11:25:00Z,81,92,132.58
10086,2023-08-23T11:26:00Z,41,76,84.98
10087,2023-08-23T11:27:00Z,6,62,6.96
10088,2023-08-23T11:28:00Z,36,64,164.11
10089,2023-08-23T11:29:00Z,48,60,194.56
10090,2023-08-23T11:30:00Z,53,84,73.7
10091,2023-08-23T11:31:00Z,36,64,133.3
10092,2023-08-23T11:32:00Z,25,39,119.07
10093,2023-08-23T11:33:00Z,40,50,53.44
10094,2023-08-23T11:34:00Z,69,93,327.23
10095,2023-08-23T11:35:00Z,20,78,82.96
10096,2023-08-23T11:36:00Z,2,94,8.2
10097,2023-08-23T11:37:00Z,78,81,104.48
10098,2023-08-23T11:38:00Z,16,63,78.74
10099,2023-08-23T11:39:00Z,59,65,173.52
10100,2023-08-23T11:40:00Z,43,59,107.24
10101,2023-08-23T11:41:00Z,1,94,0.8
10102,2023-08-23T11:42:00Z,11,23,15.69
10103,2023-08-23T11:43:00Z,33,50,24.43
10104,2023-08-23T11:44:00Z,11,87,41.46
10105,2023-08-23T11:45:00Z,46,57,80.57
10106,2023-08-23T11:46:00Z,2,30,4.03
10107,2023-08-23T11:47:00Z,7,32,9.62
10108,2023-08-23T11:48:00Z,45,65,81.38
10109,2023-08-23T11:49:00Z,14,82,21.55
10110,2023-08-23T11:50:00Z,6,20,19.17
10111,2023-08-23T11:51:00Z,67,99,333.02
10112,2023-08-23T11:52:00Z,9,10,21.31
10113,2023-08-23T11:53:00Z,75,96,346.71
10114,2023-08-23T11:54:00Z,52,79,108.56
10115,2023-08-23T11:55:00Z,26,31,20.96
10116,2023-08-23T11:56:00Z,5,21,5.75
10117,2023-08-23T11:57:00Z,2,83,3.71
10118,2023-08-23T11:58:00Z,34,40,126.37
10119,2023-08-23T11:59:00Z,16,26,12.2
10120,2023-08-23T12:00:00Z,12,68,18.58
10121,2023-08-23T12:01:00Z,41,56,50.87
10122,2023-08-23T12:02:00Z,50,78,246.96
10123,2023-08-23T12:03:00Z,38,70,182.72
10124,2023-08-23T12:04:00Z,21,81,88.51
10125,2023-08-23T12:05:00Z,3,24,7.71
10126,2023-08-23T12:06:00Z,23,30,16.31
10127,2023-08-23T12:07:00Z,4,9,16.61
10128,2023-08-23T12:08:00Z,9,30,23.7
10129,2023-08-23T12:09:00Z,2,37,8.7
10130,2023-08-23T12:10:00Z,11,70,23.57
10131,2023-08-23T12:11:00Z,64,74,187.83
10132,2023-08-23T12:12:00Z,23,65,23.47
10133,2023-08-23T12:13:00Z,8,57,31.6
10134,2023-08-23T12:14:00Z,42,68,52.89
10135,2023-08-23T12:15:00Z,47,69,77.74
10136,2023-08-23T12:16:00Z,32,70,20.89
10137,2023-08-23T12:17:00Z,91,98,183.91
10138,2023-08-23T12:18:00Z,22,44,43.25
10139,2023-08-23T12:19:00Z,44,48,85.91
10140,2023-08-23T12:20:00Z,0,92,0.0
10141,2023-08-23T12:21:00Z,4,68,16.6
10142,2023-08-23T12:22:00Z,15,38,39.89
10143,2023-08-23T12:23:00Z,37,98,47.97
10144,2023-08-23T12:24:00Z,67,97,253.07
10145,2023-08-23T12:25:00Z,15,16,15.32
10146,2023-08-23T12:26:00Z,38,67,20.01
10147,2023-08-23T12:27:00Z,6,19,17.0
10148,2023-08-23T12:28:00Z,42,62,200.26
10149,2023-08-23T12:29:00Z,29,34,25.99
10150,2023-08-23T12:30:00Z,7,7,12.24
10151,2023-08-23T12:31:00Z,1,14,1.37
10152,2023-08-23T12:32:00Z,9,73,13.12
10153,2023-08-23T12:33:00Z,84,88,57.18
10154,2023-08-23T12:34:00Z,51,73,146.97
10155,2023-08-23T12:35:00Z,8,54,17.46
10156,2023-08-23T12:36:00Z,45,68,157.11
10157,2023-08-23T12:37:00Z,29,39,121.57
10158,2023-08-23T12:38:00Z,2,42,2.05
10159,2023-08-23T12:39:00Z,8,85,31.2
10160,2023-08-23T12:40:00Z,2,81,9.82
10161,2023-08-23T12:41:00Z,34,88,40.28
10162,2023-08-23T12:42:00Z,28,35,88.12
10163,2023-08-23T12:43:00Z,50,99,241.29
10164,2023-08-23T12:44:00Z,34,44,131.18
10165,2023-08-23T12:45:00Z,47,89,115.74
10166,2023-08-23T12:46:00Z,64,70,200.69
10167,2023-08-23T12:47:00Z,41,75,54.01
10168,2023-08-23T12:48:00Z,25,61,70.51
10169,2023-08-23T12:49:00Z,57,77,105.09
10170,2023-08-23T12:50:00Z,64,100,175.71
10171,2023-08-23T12:51:00Z,9,92,33.96
10172,2023-08-23T12:52:00Z,43,52,68.34
10173,2023-08-23T12:53:00Z,50,68,45.88
10174,2023-08-23T12:54:00Z,0,16,0.0
10175,2023-08-23T12:55:00Z,59,91,67.1
10176,2023-08-23T12:56:00Z,4,50,17.28
10177,2023-08-23T12:57:00Z,47,67,182.32
10178,2023-08-23T12:58:00Z,33,66,42.45
10179,2023-08-23T12:59:00Z,55,65,234.65
10180,2023-08-23T13:00:00Z,6,24,4.97
10181,2023-08-23T13:01:00Z,2,7,6.75
10182,2023-08-23T13:02:00Z,6,32,20.83
10183,2023-08-23T13:03:00Z,16,29,34.78
10184,2023-08-23T13:04:00Z,9,23,39.28
10185,2023-08-23T13:05:00Z,43,69,83.6
10186,2023-08-23T13:06:00Z,0,39,0.0
10187,2023-08-23T13:07:00Z,4,22,18.53
10188,2023-08-23T13:08:00Z,55,66,271.91
10189,2023-08-23T13:09:00Z,46,57,87.19
10190,2023-08-23T13:10:00Z,26,47,93.82
10191,2023-08-23T13:11:00Z,55,92,27.96
10192,2023-08-23T13:12:00Z,3,58,13.55
10193,2023-08-23T13:13:00Z,12,19,30.03
10194,2023-08-23T13:14:00Z,2,43,2.8
10195,2023-08-23T13:15:00Z,41,50,29.14
10196,2023-08-23T13:16:00Z,80,83,316.81
10197,2023-08-23T13:17:00Z,1,13,1.38
10198,2023-08-23T13:18:00Z,53,96,58.94
10199,2023-08-23T13:19:00Z,74,83,77.89
10200,2023-08-23T13:20:00Z,8,15,16.48
10201,2023-08-23T13:21:00Z,4,61,9.4
10202,2023-08-23T13:22:00Z,7,9,18.94
10203,2023-08-23T13:23:00Z,61,93,195.97
10204,2023-08-23T13:24:00Z,58,67,151.43
10205,2023-08-23T13:25:00Z,24,44,91.67
10206,2023-08-23T13:26:00Z,30,97,28.01
